Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable
4zxey0qd,Task_1,1723644318041767936,1723644592919674880,Task,871.1400359066428,63.50682676155729,45.354419644561254,25.852782764811487,0.018087707898569474,0.00672044892264579,2.69144340010079,45.394551461080795,62.83662477558348,0.015253060106288054,1121.0,668.0,921.0,39.0,10.85454964208625,4.480260368695874e-05,20,-7.941114509899727e-06,2024-08-14 16:05:18.041768,2024-08-14 16:09:52.919675
4zxey0qd,Task_2,1723644592919674880,1723644867797581824,Task,875.4036363636363,65.17084724794567,47.43913750110573,27.81818181818182,0.02306710826350089,0.006559199156039123,3.516756804413045,47.48222521540322,63.272727272727266,0.00977993987166352,1121.0,691.0,926.0,44.0,11.257877790692419,5.5093537431950325e-05,19,-0.0015251660454651136,2024-08-14 16:09:52.919675,2024-08-14 16:14:27.797582
4zxey0qd,Task_3,1723644867797581824,1723645142675488768,Task,860.1362831858407,68.6882992786399,44.92955478988214,25.13274336283186,0.033794030694930685,0.009174583204026568,3.683440429217434,44.969434763912446,61.94690265486725,0.01847117291805367,1091.0,646.0,917.2,42.0,14.543402469311255,7.040608191445366e-05,35,0.0013443417095436111,2024-08-14 16:14:27.797582,2024-08-14 16:19:02.675489
4zxey0qd,Task_4,1723645142675488768,1723645417553395712,Task,837.2649572649573,59.11148527263436,37.97940141059163,16.068376068376068,0.016540718003118984,0.0050348235598406685,3.2852626922327404,38.01186325558609,57.26495726495726,0.016424191512239176,1030.0,660.0,884.0,35.0,13.609325966206951,6.550502523391738e-05,30,-0.00034452219965297747,2024-08-14 16:19:02.675489,2024-08-14 16:23:37.553396
4zxey0qd,Task_5,1723645417553395712,1723645554992349184,Task,808.8407960199005,136.93923339662393,142.6059216084854,13.681592039800993,0.0064152989682767165,0.0021602552046220865,2.9696949483332014,142.78301108452675,55.970149253731336,0.0026591946416204726,2304.0,376.0,851.0,40.0,13.925820136764047,7.939722231949173e-05,13,-0.0002776726678741269,2024-08-14 16:23:37.553396,2024-08-14 16:25:54.992349
4zxey0qd,Baseline_1,1723643218530140160,1723643493408047104,Baseline,821.2897822445561,60.232029925774114,40.61657759879488,12.897822445561138,0.006191390356317885,0.0035012792638602977,1.7683223444140912,40.6506939805293,52.428810720268004,0.005831162641868477,955.0,346.0,866.0,35.0,5.869496405148109,1.3785956157684768e-05,14,-4.057020878321735e-06,2024-08-14 15:46:58.530140,2024-08-14 15:51:33.408047
zgwrjgxr,Task_1,1723644290713512700,1723644590712922400,Task,683.051724137931,49.07512364668264,43.777135812677514,21.0727969348659,0.03986505152375598,0.04107491265946426,0.9705450101443002,43.8191847349331,61.30268199233716,0.01628698168458021,967.0,582.0,715.0,27.5,13.702592763960915,6.548658165840314e-05,15,-0.0025208300519120367,2024-08-14 16:04:50.713513,2024-08-14 16:09:50.712922
zgwrjgxr,Task_2,1723644560714023200,1723644860713098300,Task,682.3415559772296,56.518083514166115,45.55260611594437,20.49335863377609,0.029773380052294636,0.028889001091736515,1.0306129989662776,45.595625459221004,55.02846299810247,0.014629926431868903,995.0,567.0,725.8,33.0,13.753216506928984,6.717289110199537e-05,17,-6.362205095077619e-05,2024-08-14 16:09:20.714023,2024-08-14 16:14:20.713098
zgwrjgxr,Task_3,1723644830714025000,1723645130713468700,Task,673.770093457944,52.074649699993344,39.67310242695642,16.822429906542055,0.025974237203704346,0.02168780850827362,1.1976423156722131,39.71005953142608,50.467289719626166,0.009429241229240373,954.0,567.0,711.0,30.0,16.18202911237196,9.319622953205084e-05,23,-0.0035706195797073517,2024-08-14 16:13:50.714025,2024-08-14 16:18:50.713469
zgwrjgxr,Task_4,1723645100713601900,1723645400712992100,Task,701.3268101761253,51.59002074616162,37.95100040015479,15.655577299412915,0.0028674570512433667,0.004536818581063344,0.6320413743701626,37.98729647092563,59.295499021526425,0.0025783381968545274,868.0,586.0,747.0,37.0,13.377336483466248,6.376186510064489e-05,15,0.0035408675829997505,2024-08-14 16:18:20.713602,2024-08-14 16:23:20.712992
zgwrjgxr,Task_5,1723645370713680700,1723645649871987500,Task,738.2207505518763,59.69149901943859,51.95615919095739,27.373068432671083,0.014377838540746436,0.019307651971085242,0.7446704841312866,52.013093824947426,69.09492273730685,0.015396290883128206,1077.0,589.0,784.6,37.0,4.281505292779943,7.376405086046807e-06,6,0.001486938871632731,2024-08-14 16:22:50.713681,2024-08-14 16:27:29.871987
zgwrjgxr,Baseline_1,1723643540150693700,1723643840147797800,Baseline,730.0737704918033,69.1983926452518,55.31372165091356,30.327868852459016,0.016374818010623956,0.014825389369488007,1.1045118345643463,55.37033669408326,69.87704918032787,0.013466728037513705,1018.0,579.0,788.0,43.5,6.563261747825187,4.406890359065532e-05,10,-0.00012199053102411322,2024-08-14 15:52:20.150694,2024-08-14 15:57:20.147798
ypnhlu5o,Task_1,1723644318041767936,1723644592919674880,Task,874.4547101449275,51.89628893630524,37.2881554059103,15.217391304347828,0.011600874765806183,0.006302870808786472,1.8405699748175175,37.32175540924162,59.78260869565217,0.005591223695208319,991.0,704.0,916.8,30.5,10.044173501241682,6.4681836753293e-06,16,2.5341277802617563e-05,2024-08-14 16:05:18.041768,2024-08-14 16:09:52.919675
ypnhlu5o,Task_2,1723644592919674880,1723644867797581824,Task,873.0736086175942,50.497738072548024,36.09168480731006,14.003590664272892,0.014574090121717266,0.006837955243116008,2.1313520787357416,36.124152506631624,59.42549371633752,0.008874244406041308,996.0,704.0,913.0,31.0,9.135466205644644,4.477309171677427e-06,10,2.950266125069034e-05,2024-08-14 16:09:52.919675,2024-08-14 16:14:27.797582
ypnhlu5o,Task_3,1723644867797581824,1723645142675488768,Task,877.304189435337,49.15405175145266,36.160479697741884,15.482695810564662,0.01989459985263017,0.010547776707246442,1.8861415447828314,36.1934288366914,61.74863387978142,0.009279259331816565,996.0,706.0,917.0,28.0,7.0272882096789955,3.0051358780965515e-07,20,-5.134426851201332e-06,2024-08-14 16:14:27.797582,2024-08-14 16:19:02.675489
